player,episode,date,team_reported,status,player_id,cricsheet_name,candidates
Kusal Perera,1,2021-08-30,Sri Lanka,manual: MDKJ Perera is Kusal Janith Perera; MDK Perera is Dilruwan Perera,f21043a5,,MDKJ Perera [f21043a5] Sri Lanka; Kandy Tuskers; Dambulla Aura; Colombo Stars n=119 | MDK Perera [5531248e] Sri Lanka; Kandy Tuskers n=39 | AK Perera [c8ad0749] Kandy Warriors; Dambulla Viiking; Sri Lanka; Colombo Strikers n=22
Kyle Hope,1,2021-01-24,Barbados Pride,manual: KA Hope (West Indies); no Cricsheet appearances after 2017,c59d8f8a,,
Kyle Jarvis,1,2021-01-26,Zimbabwe,unique,59792462,KM Jarvis,KM Jarvis [59792462] Zimbabwe; Lancashire n=51
Kyle Mayers,1,2021-12-11,West Indies,unique,73c18486,KR Mayers,KR Mayers [73c18486] West Indies; Barbados Royals; Lucknow Super Giants; St Lucia Stars n=147
Lahiru Kumara,1,2021-02-21,Sri Lanka,manual: CBRLS Kumara is the Sri Lanka fast bowler; BLCS Kumara plays for Cyprus,4751caa3,,CBRLS Kumara [4751caa3] Sri Lanka; Abu Dhabi Knight Riders; Galle Titans; Dambulla Viiking n=93 | BLCS Kumara [74e3b4fd] Cyprus n=2
Lahiru Thirimanne,1,2021-02-02,Sri Lanka,unique,c5928dec,HDRL Thirimanne,HDRL Thirimanne [c5928dec] Sri Lanka n=37
Lance Morris,1,2022-01-22,Perth Scorchers,unique,b08e58e2,LR Morris,LR Morris [b08e58e2] Western Australia; Perth Scorchers; Melbourne Stars n=45
Lewis Gregory,1,2021-03-02,Islamabad United,unique,06c2de82,L Gregory,L Gregory [06c2de82] Somerset; Trent Rockets; Brisbane Heat; England n=237
Lorcan Tucker,1,2022-01-10,Ireland,unique,3979b5e0,L Tucker,L Tucker [3979b5e0] Ireland; Leinster Lightning; Trinbago Knight Riders; MI Emirates n=168
Lungi Ngidi,1,2021-11-24,South Africa,unique,f834dcfc,L Ngidi,L Ngidi [f834dcfc] South Africa; Chennai Super Kings; Titans; Paarl Royals n=154
